media_channel,advertiser_name,document_number,service_date,invoice_date,invoice_number,media_provider_name,vendor_name,invoice_amount,expense_catagory,business_unit,location,department,expense_code,invoiced_clicks
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,32431,1/11/20,1/18/20,MED-5872,RealGood Interactive Media Inc.,Googly Ads,1914,PASS -THROUGH MEDIA,7016,30000,7504,79010,2055
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,12566,1/12/20,1/18/20,MED-5485,RealGood Interactive Media Inc.,Zing,55365,PASS -THROUGH MEDIA,7016,82337,6056,79010,332454
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,32431,1/12/20,1/18/20,MED-5948,RealGood Interactive Media Inc.,Zing,90598,PASS -THROUGH MEDIA,7016,30000,7504,79010,731216
SOCIAL MEDIA ADVERTISING,THE BEST INSURANCE COMPANY,54211,1/12/20,1/19/20,MED-8148,Critical Point Social Media Agency,Spacebook,91044,PASS -THROUGH MEDIA,7016,82337,6056,79010,38341
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,67524,1/12/20,1/19/20,MED-8729,RealGood Interactive Media Inc.,Ads180,60936,PASS -THROUGH MEDIA,7016,30000,7504,79010,213904
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,67524,1/12/20,1/19/20,MED-9431,RealGood Interactive Media Inc.,Googly Ads,67367,PASS -THROUGH MEDIA,7016,20002,5970,79025,56332
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,87654,1/13/20,1/20/20,MED-2544,RealGood Interactive Media Inc.,Ads180,8686,PASS -THROUGH MEDIA,7016,20002,5970,79025,14707
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,87654,1/13/20,1/21/20,MED-9128,RealGood Interactive Media Inc.,Googly Ads,72117,PASS -THROUGH MEDIA,2808,28101,6407,78675,57276
SOCIAL MEDIA ADVERTISING,THE BEST INSURANCE COMPANY,54211,1/13/20,1/21/20,MED-8182,Critical Point Social Media Agency,Spacebook,31166,PASS -THROUGH MEDIA,2808,28101,6407,78675,24478
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,32431,1/13/20,1/21/20,MED-5556,RealGood Interactive Media Inc.,Ads180,19013,PASS -THROUGH MEDIA,2808,28101,6407,78675,88622
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,67524,1/14/20,1/22/20,MED-5798,RealGood Interactive Media Inc.,Googly Ads,15802,PASS -THROUGH MEDIA,7016,30024,6063,79010,15414
SOCIAL MEDIA ADVERTISING,THE BEST INSURANCE COMPANY,54211,1/14/20,1/22/20,MED-1695,Critical Point Social Media Agency,Spacebook,40253,PASS -THROUGH MEDIA,7016,82337,6063,79005,43554
SOCIAL MEDIA ADVERTISING,THE BEST INSURANCE COMPANY,54211,1/15/20,1/22/20,MED-3691,Critical Point Social Media Agency,Spacebook,54362,PASS -THROUGH MEDIA,2808,28101,6056,79010,30352
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,12566,1/16/20,1/23/20,MED-8882,RealGood Interactive Media Inc.,Googly Ads,28319,PASS -THROUGH MEDIA,1808,18801,6063,79005,21310
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,87654,1/16/20,1/23/20,MED-2229,RealGood Interactive Media Inc.,Zing,88672,PASS -THROUGH MEDIA,7016,30024,6063,79010,189092
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,67524,1/16/20,1/23/20,MED-3142,RealGood Interactive Media Inc.,Zing,12711,PASS -THROUGH MEDIA,7016,82337,6063,79005,34600
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,87654,1/17/20,1/24/20,MED-4846,RealGood Interactive Media Inc.,Zing,44322,PASS -THROUGH MEDIA,2808,28101,6056,79010,143923
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,12566,1/17/20,1/24/20,MED-6843,RealGood Interactive Media Inc.,Zing,28313,PASS -THROUGH MEDIA,1808,18801,6063,79005,131499
SOCIAL MEDIA ADVERTISING,THE BEST INSURANCE COMPANY,54211,1/17/20,1/24/20,MED-6609,Critical Point Social Media Agency,Spacebook,36842,PASS -THROUGH MEDIA,7016,30024,6063,79010,25322
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,32431,1/18/20,1/24/20,MED-2284,RealGood Interactive Media Inc.,Ads180,56779,PASS -THROUGH MEDIA,7016,82337,6063,79005,171344
SOCIAL MEDIA ADVERTISING,THE BEST INSURANCE COMPANY,54211,1/19/20,1/24/20,MED-3651,Critical Point Social Media Agency,Spacebook,93209,PASS -THROUGH MEDIA,2808,28101,6056,79010,37802
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,12566,1/19/20,1/24/20,MED-2745,RealGood Interactive Media Inc.,Ads180,88116,PASS -THROUGH MEDIA,1808,18801,6063,79005,152957
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,87654,1/19/20,1/25/20,MED-9894,RealGood Interactive Media Inc.,Zing,59459,PASS -THROUGH MEDIA,7016,30024,6063,79010,155732
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,12566,1/19/20,1/26/20,MED-9038,RealGood Interactive Media Inc.,Zing,8409,PASS -THROUGH MEDIA,7016,82337,6063,79010,18126
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,67524,1/19/20,1/26/20,MED-6300,RealGood Interactive Media Inc.,Googly Ads,11411,PASS -THROUGH MEDIA,1608,16060,6078,79010,8159
SOCIAL MEDIA ADVERTISING,THE BEST INSURANCE COMPANY,54211,1/19/20,1/26/20,MED-1330,Critical Point Social Media Agency,Spacebook,68237,PASS -THROUGH MEDIA,2808,28101,6063,79025,27615
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,32431,1/20/20,1/26/20,MED-7534,RealGood Interactive Media Inc.,Googly Ads,50178,PASS -THROUGH MEDIA,1808,18801,6063,79010,30693
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,10445,1/20/20,1/27/20,MED-8854,RealGood Interactive Media Inc.,Googly Ads,84741,PASS -THROUGH MEDIA,7016,30024,6063,79010,62925
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,32431,1/20/20,1/27/20,MED-7727,RealGood Interactive Media Inc.,Googly Ads,12333,PASS -THROUGH MEDIA,7016,82337,6063,79010,10337
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,12566,1/20/20,1/28/20,MED-8875,RealGood Interactive Media Inc.,Zing,28922,PASS -THROUGH MEDIA,1608,16060,6078,79010,54394
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,12566,1/20/20,1/28/20,MED-9469,RealGood Interactive Media Inc.,Zing,48679,PASS -THROUGH MEDIA,2808,28101,6063,79025,157804
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,87654,1/20/20,1/28/20,MED-2059,RealGood Interactive Media Inc.,Zing,78270,PASS -THROUGH MEDIA,1808,18801,6063,79010,420826
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,12566,1/21/20,1/29/20,MED-5263,RealGood Interactive Media Inc.,Ads180,18894,PASS -THROUGH MEDIA,7016,30024,6063,79010,40643
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,12566,1/22/20,1/29/20,MED-5859,RealGood Interactive Media Inc.,Googly Ads,66633,PASS -THROUGH MEDIA,7016,30024,6063,79010,60242
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,12566,1/22/20,1/29/20,MED-7742,RealGood Interactive Media Inc.,Ads180,72256,PASS -THROUGH MEDIA,1608,16060,6078,79010,123050
SOCIAL MEDIA ADVERTISING,THE BEST INSURANCE COMPANY,54211,1/22/20,1/30/20,MED-6001,Critical Point Social Media Agency,Spacebook,19671,PASS -THROUGH MEDIA,2808,28101,6063,79025,15285
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,87654,1/22/20,1/30/20,MED-8373,RealGood Interactive Media Inc.,Ads180,79417,PASS -THROUGH MEDIA,1808,18801,6063,79010,232431
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,87654,1/22/20,1/30/20,MED-3335,RealGood Interactive Media Inc.,Googly Ads,28459,PASS -THROUGH MEDIA,7016,82337,6056,79010,18437
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,12566,1/22/20,1/30/20,MED-3193,RealGood Interactive Media Inc.,Zing,17354,PASS -THROUGH MEDIA,7016,82337,6056,79010,53832
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,67524,1/22/20,1/30/20,MED-2072,RealGood Interactive Media Inc.,Ads180,3268,PASS -THROUGH MEDIA,7016,82337,6056,79010,9925
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,12566,1/22/20,1/30/20,MED-4193,RealGood Interactive Media Inc.,Zing,78932,PASS -THROUGH MEDIA,7016,30024,6063,79010,160088
SOCIAL MEDIA ADVERTISING,THE BEST INSURANCE COMPANY,54211,1/23/20,1/31/20,MED-4192,Critical Point Social Media Agency,Spacebook,46210,PASS -THROUGH MEDIA,7016,30024,6063,79010,22673
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,87654,1/24/20,1/31/20,MED-7928,RealGood Interactive Media Inc.,Googly Ads,19873,PASS -THROUGH MEDIA,1808,18801,6063,79010,12812
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,10445,1/25/20,2/1/20,MED-7387,RealGood Interactive Media Inc.,Googly Ads,52549,PASS -THROUGH MEDIA,7016,30024,6063,79010,57371
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,87654,1/25/20,2/1/20,MED-7096,RealGood Interactive Media Inc.,Ads180,89229,PASS -THROUGH MEDIA,7016,30024,6063,79010,754924
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,12566,1/25/20,2/1/20,MED-4079,RealGood Interactive Media Inc.,Ads180,26016,PASS -THROUGH MEDIA,1808,18801,6063,79010,43575
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,87654,1/25/20,2/1/20,MED-6974,RealGood Interactive Media Inc.,Googly Ads,83239,PASS -THROUGH MEDIA,7016,30000,7434,79045,84009
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,87654,1/26/20,2/2/20,MED-2449,RealGood Interactive Media Inc.,Zing,91016,PASS -THROUGH MEDIA,7016,30000,7434,79045,499306
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,87654,1/26/20,2/2/20,MED-7605,RealGood Interactive Media Inc.,Ads180,60117,PASS -THROUGH MEDIA,7016,30000,7434,79045,193711
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,67524,1/27/20,2/2/20,MED-6482,RealGood Interactive Media Inc.,Googly Ads,6495,PASS -THROUGH MEDIA,7016,30000,7434,79045,6661
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,32431,1/27/20,2/2/20,MED-4968,RealGood Interactive Media Inc.,Zing,29722,PASS -THROUGH MEDIA,7016,30000,7434,79045,59711
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,67524,1/28/20,2/2/20,MED-9221,RealGood Interactive Media Inc.,Ads180,77318,PASS -THROUGH MEDIA,7016,30000,7434,79045,594614
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,32431,1/28/20,2/3/20,MED-5061,RealGood Interactive Media Inc.,Googly Ads,71730,PASS -THROUGH MEDIA,7016,30000,7434,79045,58283
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,67524,1/28/20,2/4/20,MED-4631,RealGood Interactive Media Inc.,Zing,93263,PASS -THROUGH MEDIA,7016,30000,7434,79045,193601
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,10445,1/30/20,2/4/20,MED-8551,RealGood Interactive Media Inc.,Ads180,47093,PASS -THROUGH MEDIA,7016,30000,7434,79045,249200
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,12566,1/31/20,2/5/20,MED-3759,RealGood Interactive Media Inc.,Googly Ads,57731,PASS -THROUGH MEDIA,7016,30000,7434,79045,69364
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,32431,1/31/20,2/5/20,MED-3668,RealGood Interactive Media Inc.,Zing,1623,PASS -THROUGH MEDIA,7016,30000,7434,79045,8097
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,10445,1/31/20,2/5/20,MED-7444,RealGood Interactive Media Inc.,Ads180,6631,PASS -THROUGH MEDIA,7016,30000,7434,79045,27829
SOCIAL MEDIA ADVERTISING,THE BEST INSURANCE COMPANY,54211,1/31/20,2/5/20,MED-4082,Critical Point Social Media Agency,Spacebook,45372,PASS -THROUGH MEDIA,7016,30000,7434,79045,18081
SOCIAL MEDIA ADVERTISING,THE BEST INSURANCE COMPANY,54211,1/31/20,2/6/20,MED-3205,Critical Point Social Media Agency,Spacebook,30899,PASS -THROUGH MEDIA,7016,30000,7434,79045,21034
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,12566,1/31/20,2/6/20,MED-9523,RealGood Interactive Media Inc.,Ads180,24096,PASS -THROUGH MEDIA,7016,30000,7434,79045,47317
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,67524,2/1/20,2/7/20,MED-2966,RealGood Interactive Media Inc.,Googly Ads,87129,PASS -THROUGH MEDIA,7016,30000,7434,79045,92687
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,87654,2/1/20,2/7/20,MED-8429,RealGood Interactive Media Inc.,Zing,23706,PASS -THROUGH MEDIA,7016,30000,7434,79045,150098
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,87654,2/1/20,2/8/20,MED-2037,RealGood Interactive Media Inc.,Ads180,83589,PASS -THROUGH MEDIA,7016,30000,7434,79045,184122
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,12566,2/1/20,2/8/20,MED-8933,RealGood Interactive Media Inc.,Googly Ads,95537,PASS -THROUGH MEDIA,7016,30000,7434,79045,56893
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,32431,2/1/20,2/9/20,MED-6833,RealGood Interactive Media Inc.,Zing,10637,PASS -THROUGH MEDIA,7016,30000,7434,79045,56439
SOCIAL MEDIA ADVERTISING,THE BEST INSURANCE COMPANY,54211,2/1/20,2/9/20,MED-8852,Critical Point Social Media Agency,Spacebook,23197,PASS -THROUGH MEDIA,7016,30000,7434,79045,8915
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,32431,2/1/20,2/9/20,MED-2096,RealGood Interactive Media Inc.,Googly Ads,8179,PASS -THROUGH MEDIA,7016,30000,7434,79045,8224
SOCIAL MEDIA ADVERTISING,THE BEST INSURANCE COMPANY,54211,2/1/20,2/9/20,MED-9798,Critical Point Social Media Agency,Spacebook,86411,PASS -THROUGH MEDIA,7016,30000,7434,79045,35815
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,87654,2/1/20,2/10/20,MED-1958,RealGood Interactive Media Inc.,Ads180,87790,PASS -THROUGH MEDIA,7016,30000,7434,79045,163146
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,10445,2/2/20,2/10/20,MED-8231,RealGood Interactive Media Inc.,Googly Ads,66330,PASS -THROUGH MEDIA,7016,82337,5965,79010,37747
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,87654,2/2/20,2/10/20,MED-4685,RealGood Interactive Media Inc.,Googly Ads,8330,PASS -THROUGH MEDIA,7016,82337,5965,79010,9654
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,12566,2/2/20,2/10/20,MED-9336,RealGood Interactive Media Inc.,Googly Ads,31261,PASS -THROUGH MEDIA,7016,82337,6056,79010,36693
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,87654,2/3/20,2/11/20,MED-8082,RealGood Interactive Media Inc.,Googly Ads,81915,PASS -THROUGH MEDIA,7016,82337,6056,79010,78401
SOCIAL MEDIA ADVERTISING,THE BEST INSURANCE COMPANY,54211,2/3/20,2/11/20,MED-5239,Critical Point Social Media Agency,Spacebook,81366,PASS -THROUGH MEDIA,7016,82337,6056,79010,46058
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,67524,2/3/20,2/11/20,MED-7909,RealGood Interactive Media Inc.,Googly Ads,66783,PASS -THROUGH MEDIA,7016,82337,6056,79010,43196
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,87654,2/3/20,2/11/20,MED-1136,RealGood Interactive Media Inc.,Googly Ads,83962,PASS -THROUGH MEDIA,7016,82337,6056,79010,63009
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,87654,2/4/20,2/11/20,MED-5398,RealGood Interactive Media Inc.,Googly Ads,46378,PASS -THROUGH MEDIA,7016,82337,6056,79010,27130
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,32431,2/4/20,2/12/20,MED-5499,RealGood Interactive Media Inc.,Zing,70801,PASS -THROUGH MEDIA,7016,82337,5965,79010,209861
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,87654,2/4/20,2/13/20,MED-7884,RealGood Interactive Media Inc.,Zing,96317,PASS -THROUGH MEDIA,7016,82337,5965,79010,295535
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,32431,2/5/20,2/13/20,MED-9080,RealGood Interactive Media Inc.,Zing,79134,PASS -THROUGH MEDIA,7016,82337,6056,79010,342520
